Domain_Code,Domain,Area_Code_(M49),Area,Element_Code,Element,Item_Code_(CPC),Item,Year_Code,Year,Months_Code,Months,Unit,Value,Flag,Flag_Description
PP,Producer Prices,428,Latvia,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2016,2016,7021,Annual value,USD,1555.3,A,Official figure
PP,Producer Prices,428,Latvia,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2017,2017,7021,Annual value,USD,1699.1,A,Official figure
PP,Producer Prices,428,Latvia,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2018,2018,7021,Annual value,USD,1603.7,A,Official figure
PP,Producer Prices,428,Latvia,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2019,2019,7021,Annual value,USD,1801.2,A,Official figure
PP,Producer Prices,428,Latvia,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2020,2020,7021,Annual value,USD,1948.3,A,Official figure
PP,Producer Prices,442,Luxembourg,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2015,2015,7021,Annual value,USD,1585.9,A,Official figure
PP,Producer Prices,442,Luxembourg,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2016,2016,7021,Annual value,USD,1703.5,A,Official figure
PP,Producer Prices,442,Luxembourg,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2017,2017,7021,Annual value,USD,1897.9,A,Official figure
PP,Producer Prices,442,Luxembourg,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2018,2018,7021,Annual value,USD,1736,A,Official figure
PP,Producer Prices,442,Luxembourg,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2019,2019,7021,Annual value,USD,1992.7,A,Official figure
PP,Producer Prices,442,Luxembourg,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2020,2020,7021,Annual value,USD,2188,A,Official figure
PP,Producer Prices,470,Malta,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2015,2015,7021,Annual value,USD,2531.3,A,Official figure
PP,Producer Prices,470,Malta,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2016,2016,7021,Annual value,USD,2432.9,A,Official figure
PP,Producer Prices,470,Malta,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2017,2017,7021,Annual value,USD,2464.3,A,Official figure
PP,Producer Prices,470,Malta,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2018,2018,7021,Annual value,USD,2577,A,Official figure
PP,Producer Prices,470,Malta,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2019,2019,7021,Annual value,USD,2442.8,A,Official figure
PP,Producer Prices,470,Malta,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2020,2020,7021,Annual value,USD,2492.3,A,Official figure
